GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		atan_tmp
90.73201000		90.61789941		1.03679292		11		0.68783350		-0.13509184		1.22503530
90.73201000		90.44330984		0.86220334		-2		-0.00780949		-0.30195262		1.21723956
89.90933000		89.86048290		0.74307834		-7		-0.45224982		-0.81476068		1.14722704
89.90933000		89.85479988		0.73739531		-16		-0.97400039		-1.29151541		1.14630636
89.43038000		89.47053395		0.78283027		-24		-1.48830525		-1.67790866		1.14840053
89.43038000		89.54959606		0.86189238		-27		-1.66642490		-1.60289821		1.15238865
90.05255000		90.16416834		0.99149280		-22		-1.36123189		-0.96165970		1.12575526
90.05255000		90.33761646		1.16494091		-15		-0.95642958		-0.78748407		1.12376037
90.32213000		90.41388131		1.33510136		-13		-0.80174688		-0.70696886		1.12073934
90.32213000		90.53332516		1.45454521		-11		-0.69247975		-0.58354053		1.11686217
91.29565000		91.34855988		1.52716188		-1		-0.07355552		0.68824464		1.09661827
91.29565000		91.39998241		1.57858441		9		0.59365086		0.75428008		1.08200983
89.61499000		89.65138351		1.62792501		0		0.01405298		-0.98708208		1.07479844
89.61499000		89.61471820		1.59125970		-15		-0.93805782		-1.03109901		1.07414371
91.59625000		91.53512648		1.51542277		-2		-0.17711216		0.97892600		0.98448060
91.59625000		91.58145487		1.56175116		16		0.97492920		1.04173984		0.96793999
90.70562000		91.69134505		1.67164135		17		1.06121783		1.15251528		0.95551604
90.70562000		91.63623960		1.61653590		18		1.13452607		1.11503080		0.93802814
91.14978000		91.01166722		1.44596052		14		0.87619649		0.49493498		0.93346284
91.14978000		90.91107952		1.34537282		8		0.34018337		0.40580303		0.92197818
90.69861000		90.62096419		1.25050550		5		0.30979142		0.11740585		0.90935218
90.69861000		90.52585674		1.15539804		1		0.11773234		0.03041130		0.90118373
89.07666000		89.06918505		1.13307238		-8		-0.51402315		-1.42445377		0.89935633
89.07666000		89.06999308		1.13388041		-21		-1.28909895		-1.42805159		0.90376730
91.04460000		91.05820928		1.14688256		-7		-0.47812004		0.56988980		0.88699246
91.04460000		91.17657850		1.26525178		9		0.59555587		0.70084613		0.87436483
90.75976000		90.87946982		1.40899702		8		0.50993653		0.41666593		0.86149707
90.75976000		90.85228259		1.38180979		4		0.29692583		0.00088252		0.85145368
90.88522000		90.80033773		1.26847902		1		0.08977622		0.01070298		0.78964435
90.88522000		90.76924901		1.23739031		0		0.00649337		-0.01369322		0.78293392
90.54994000		90.55150327		1.24405127		-1		-0.04080491		0.15780147		0.77595508
90.54994000		90.53501103		1.22755904		0		0.03324576		0.14935979		0.76790679
90.13208000		90.13935798		1.23409831		0		0.04620513		-0.24749962		0.76910788
90.13208000		90.15372447		1.24846479		-3		-0.20023349		-0.22856812		0.76453846
90.57495000		90.57384660		1.24860034		0		-0.04536275		0.19401609		0.75592804
90.57495000		90.56703393		1.24178767		3		0.18981029		0.19532150		0.74774656
90.57591000		90.58750308		1.26225681		3		0.17570907		0.23298042		0.73055345
90.57591000		90.58802203		1.26277577		3		0.20528320		-0.13379412		0.72182407
90.69570000		90.66677106		1.23142590		0		0.05482351		-0.05926796		0.72605548
90.69570000		90.64046294		1.20511779		-1		-0.06131760		-0.07989245		0.72049846
90.54793000		90.53797064		1.19415025		-1		-0.11580885		-0.17362843		0.71161066
90.54793000		90.52721803		1.18339764		0		0.00728326		0.18372859		0.70483705
90.05629000		90.07222450		1.20301124		0		0.01222688		-0.23169652		0.66526438
90.05629000		90.08048379		1.21127053		-3		-0.05338642		-0.21955153		0.66138237
90.60476000		90.60651643		1.21343271		1		0.07588217		0.30816906		0.65141428
90.60476000		90.61967697		1.22659324		5		0.31307896		0.32997126		0.64277173
89.99213000		90.00840214		1.24614777		0		0.05610812		-0.27735730		0.63882701
89.99213000		89.99188527		1.22963091		-4		-0.27307346		-0.29068499		0.63565264
90.59878000		90.56523087		1.18899412		-3		-0.18067582		-0.05895577		0.62436425
90.59878000		90.57847168		1.20223493		0		-0.05990880		-0.04081714		0.61925270
90.34538000		90.39546154		1.25990946		-2		-0.14527861		-0.23027046		0.62569684
90.34538000		90.42243886		1.28688678		-3		-0.22055675		-0.19958691		0.62202424
89.95219000		89.94023151		1.27264354		-6		-0.39370693		-0.68855368		0.62884540
89.95219000		89.94850716		1.28091919		-11		-0.42812793		-0.68087363		0.62937475
90.77846000		90.82142095		1.32516393		0		-0.01170993		0.53552962		0.62101990
90.77846000		90.89394505		1.39768804		9		0.54658980		0.61865017		0.61043724
90.27042000		90.33086949		1.46535862		5		0.30423368		0.11283504		0.55319102
90.27042000		90.30311149		1.43760062		1		0.08984229		0.09117808		0.54712048
90.86464000		90.78016692		1.34615250		3		0.12758677		0.24997487		0.53020345
90.86464000		90.75068285		1.31666843		4		0.06553414		0.22734245		0.52333795
90.65977000		90.66895557		1.32661499		3		0.16542912		0.13735623		0.53159820
90.65977000		90.65739261		1.31505203		2		0.13628018		0.13184604		0.52556715
90.22252000		90.19691716		1.28019953		0		-0.04451864		-0.32436287		0.52154544
90.22252000		90.16937999		1.25266236		-4		-0.29694327		-0.35047964		0.51987767
90.34450000		90.33937484		1.24546754		-3		-0.19786834		0.15048933		0.50567628
90.27463000		90.27671514		1.27406491		0		0.05557891		0.08799845		0.50548132
90.27463000		90.33651872		1.33386849		2		0.14074046		0.15351596		0.49979230
90.27463000		90.34960500		1.34695478		2		0.08241687		0.17264764		0.49375945
90.39188000		90.37668149		1.32689226		3		0.18318218		0.19535728		0.48968983
90.39188000		90.35386676		1.30407753		3		0.19132046		0.17864151		0.48358689
90.53790000		90.33702637		1.28723713		3		0.18457226		0.17864879		0.46674269
90.53790000		90.31593748		1.26614824		2		0.17932468		0.16342729		0.46089748
90.57967000		90.55640257		1.23717151		4		0.12609927		0.40292430		0.45779638
90.57967000		90.52239147		1.20316040		6		0.05937445		0.40065135		0.42603927
90.20239000		90.17327687		1.17072708		4		0.25609731		0.06109832		0.41719480
90.20239000		90.14133708		1.13878729		2		0.12226499		0.03291619		0.41273094
90.67425000		90.61931245		1.08352876		2		0.12674891		0.21031682		0.40903924
90.67425000		90.57333524		1.03755155		3		0.18214245		0.17019813		0.40353016
90.21695000		90.21801442		1.03645987		1		0.10525455		0.11566965		0.39883293
90.21695000		90.21521326		1.03365871		1		0.02097160		0.11764258		0.39406672
90.56928000		90.54184775		1.00537003		5		0.30329812		0.45430715		0.38404871
90.56928000		90.52387884		0.98740112		7		0.44839812		0.44403174		0.37633739
90.43321000		90.42901976		0.98474777		6		0.41289335		0.34902339		0.36908378
90.43321000		90.36961085		0.92533887		6		0.36706986		0.29610703		0.36263679
89.80299000		89.71061609		0.83160648		1		0.08364452		-0.35983754		0.35957264
89.80299000		89.63069660		0.75168699		-3		-0.22525375		-0.72899792		0.35973012
89.36551000		89.59502520		0.71601559		-8		-0.53144990		-0.78316704		0.37818865
89.36551000		89.61295133		0.73394172		-11		-0.69147572		-0.76908554		0.38182708
90.01009000		90.07068533		0.79802698		-10		-0.63227954		-0.30395145		0.37460119
90.01009000		90.18311576		0.91045742		-6		-0.36389360		0.09257824		0.37248818
90.16677000		90.29067664		1.04394127		0		-0.02831285		0.21897859		0.35363443
