GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		psi		atan_tmp		s		x_error
89.96882000		89.87734482		4.13206762		7		0.42954919		-0.31250802		-0.34940292		0.66191094		1.18023587		0.30037901
89.96882000		89.78900672		4.04372953		-1		-0.07976276		-0.39857220		-0.26098628		0.65955848		1.15833481		0.29931136
90.96416000		90.92342251		3.99740740		1		0.09114476		0.75149040		-1.39538425		0.64389385		1.16829870		0.29220206
90.96416000		90.92197366		3.99595854		9		0.57671829		0.76082785		-1.39391190		0.63308405		1.21381928		0.28729611
89.76568000		89.78316968		4.01741025		2		0.12293422		-0.81785798		0.21683192		0.60102606		1.20424623		0.29372751
89.76568000		89.74851454		3.98275510		-9		-0.30111549		-0.85434624		0.25147184		0.60287439		1.19466481		0.29463088
90.08309000		90.04613301		3.92960568		-12		-0.73331293		-0.53493345		-0.04613658		0.58107002		1.22333713		0.28397411
90.08309000		90.08486715		3.96833982		-10		-0.61221167		-0.49581819		-0.08479082		0.58060901		1.27829008		0.28374880
91.33441000		90.18129960		4.06477227		-8		-0.49004383		-0.38107523		-0.18129807		0.56228987		1.20735601		0.27479549
91.33441000		90.25381440		4.13728707		-6		-0.06496465		-0.30669539		-0.25380695		0.56050234		1.20991172		0.27392185
90.09105000		90.14006858		4.19002902		-5		-0.33126007		0.01403891		-0.57639608		0.56235717		1.31734376		0.27482838
90.09105000		90.18405387		4.23401431		-2		-0.17107098		0.06293135		-0.62038634		0.55745499		1.24821613		0.27243249
89.98088000		89.99963355		4.25933397		0		-0.04811483		-0.11745466		-0.43595795		0.55341261		1.22613401		0.27045683
89.98088000		90.02102701		4.28072743		-1		-0.07262203		-0.09243522		-0.45735797		0.54979319		1.23763070		0.26868788
90.39052000		90.38999191		4.28080352		0		0.04733703		0.27862339		-0.81825623		0.53963284		1.27839846		0.26372215
90.61131000		90.61109208		4.27063209		3		0.22207819		0.52199436		-1.03935890		0.51736453		1.23969555		0.25283887
90.61131000		90.60373469		4.26327469		6		0.19676847		0.52310337		-1.03199808		0.50889472		1.24673216		0.24869941
90.61131000		90.59031918		4.24985918		8		0.49177702		0.55226372		-1.01859688		0.46633316		1.28819268		0.24417686
90.15857000		90.55265370		4.21219371		8		0.53895758		0.51391734		-0.96935641		0.45543908		1.27389300		0.23847236
90.15857000		90.50957441		4.16911441		8		0.52069260		0.47881724		-0.92628884		0.44747160		1.26445611		0.23430034
91.17544000		91.13972778		4.13112669		13		0.79460225		1.12248020		-1.55643962		0.43395943		1.29266506		0.22722496
91.17544000		91.08350628		4.07490519		17		1.04208080		1.06822809		-1.48931593		0.42108784		1.33666279		0.22048504
90.20991000		90.13609162		3.98917539		11		0.71048330		0.11096694		-0.54352214		0.43255520		1.29451509		0.22648967
90.20991000		90.03073289		3.88381665		4		0.27280613		0.00813941		-0.43650130		0.42836189		1.29521391		0.22429394
89.69457000		89.61657473		3.78229925		-1		0.02963028		-0.42804482		-0.01531332		0.44335815		1.40692815		0.23214641
89.69457000		89.56816878		3.73389330		-5		-0.34501536		-0.47657821		0.03309864		0.44347957		1.33533310		0.23220999
89.86098000		89.87645569		3.74872084		-5		-0.33126374		-0.15696630		-0.27516995		0.43213625		1.31587669		0.22627030
89.86098000		89.91689059		3.78915573		-3		-0.19330001		-0.11473787		-0.31495553		0.42969341		1.32769958		0.22499116
90.12808000		90.17600913		3.83954792		-3		-0.19562872		-0.24682999		-0.17596071		0.42279070		1.35750389		0.22137671
90.97512000		90.97737993		3.88202266		-3		-0.20153711		0.57113803		-0.97736082		0.40622279		1.33271324		0.21270132
90.97512000		90.98374106		3.88838379		3		-0.03120618		0.61115864		-0.98373879		0.37258015		1.34307721		0.20809094
90.97512000		91.00630706		3.91094980		9		0.56972523		1.02456904		-1.38853698		0.36396794		1.44006500		0.20328078
89.75550000		89.76584538		3.92613086		5		0.31627384		-0.23003070		-0.14821957		0.37825027		1.36789702		0.21125787
89.75550000		89.71427560		3.87456109		0		0.01711787		-0.28055770		-0.09654714		0.37710484		1.36370726		0.21061811
89.74218000		89.68177347		3.80577220		-4		-0.25855793		-0.30537479		-0.06405754		0.36943233		1.39793806		0.20633279
89.74218000		89.67746703		3.80146576		-4		-0.23048361		-0.31548774		-0.05349391		0.36898164		1.41291671		0.20608107
90.72986000		90.76580329		3.84413626		1		-0.09147361		0.77310020		-1.14183401		0.36873381		1.38377122		0.20594265
90.72986000		90.80342583		3.88175880		9		0.57408925		0.82079038		-1.17944374		0.35865336		1.38570051		0.20031243
89.93438000		89.95258911		3.90181111		6		0.38858558		-0.39763927		0.04741080		0.35022848		1.44255058		0.19560691
89.46226000		89.91354841		3.86277041		-1		-0.06888630		-0.45209604		0.08639242		0.36570362		1.40480223		0.20425020
89.46226000		89.83012888		3.77935088		-7		-0.43750243		-0.53660036		0.16979287		0.36680749		1.40829115		0.20486675
89.46226000		89.80917112		3.75839349		-8		-0.49087481		-0.55928741		0.19084230		0.36844512		1.43109063		0.20578141
90.39513000		90.45569653		3.81968869		-2		-0.14521891		0.45870303		-0.81700976		0.35830674		1.44471742		0.20011884
89.65017000		89.65317990		3.89825994		4		0.25990664		-0.34124892		-0.01447793		0.35572685		1.43748559		0.19867790
89.65017000		89.68497993		3.93005996		2		0.14418905		-0.28820128		-0.04631593		0.33451721		1.45420588		0.19850876
89.65017000		89.68106285		3.92614288		-2		-0.16350630		-0.29983513		-0.03428738		0.33412252		1.51521358		0.19827454
89.76075000		89.73533339		3.89876026		-4		-0.15819061		-0.23679053		-0.08841244		0.32520297		1.46739459		0.19298140
90.00798000		90.00998198		3.89281866		-4		-0.24095973		0.04512037		-0.36227938		0.31715902		1.47727761		0.18820787
