GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result
89.91231000		89.90723435		2.78411090		-7		-437.34410327
89.76354000		89.74024400		2.75538847		-8		-0.49236662
90.65068000		90.65319061		2.78592868		-6		-0.39847632
90.65068000		90.74484987		2.87758794		3		329.98800975
89.83482000		89.83514034		2.93282451		11		734.73965480
89.83482000		89.83742892		2.93511309		4		0.26932479
89.83482000		89.76111182		2.85879599		-3		-0.21972417
90.64678000		90.56967956		2.76670409		2		0.16480612
90.64678000		90.57875958		2.77578411		8		-6.13424927
89.56395000		89.59798349		2.81054534		0		0.05805146
89.56395000		89.55831068		2.77087253		-7		-0.43546647
90.22545000		90.17923038		2.71602903		-2		-0.15988463
90.19503000		90.19945341		2.76189578		1		0.10774148
90.19503000		90.26667655		2.82911891		0		36.84928440
89.80862000		89.80662692		2.81191348		0		-0.05194790
89.80862000		89.79007147		2.79535804		-3		-0.23265141
90.57221000		90.57274989		2.80547383		-4		-0.25509116
90.57221000		90.58897272		2.82169666		4		0.25812200
90.04933000		90.04960989		2.85801953		10		0.60851140
90.04933000		90.06631118		2.87472082		5		0.34088399
90.04933000		89.98091528		2.78932492		1		0.07203793
90.32929000		90.24028906		2.69336664		2		0.17698854
89.44467000		89.44619193		2.67176157		3		0.22009244
89.44467000		89.44658680		2.67215645		-4		-0.28844601
90.37026000		90.36776803		2.65523934		-13		-0.78240289
90.37026000		90.37072150		2.65819281		-5		-0.31018864
90.36158000		90.37535391		2.77590535		3		0.18960376
90.36158000		90.50026358		2.90081501		6		0.41127344
90.36158000		90.48562944		2.88618088		8		0.52256261
89.51779000		89.41081488		2.77769613		0		0.01286783
89.51779000		89.33325100		2.70013225		-7		-0.43548104
90.33395000		90.30628287		2.66734715		1		0.08580762
89.86013000		89.86605932		2.71807329		10		0.61998618
89.86013000		89.90886873		2.76088269		4		0.29075453
90.24676000		90.23800309		2.69660440		-2		-0.16270482
90.24676000		90.15355256		2.61215388		-2		-0.14502358
90.31418000		90.31971642		2.62989850		0		-0.03618745
90.31418000		90.37633681		2.68651889		3		0.21997027
89.09100000		89.09071347		2.69324995		7		813.76505302
89.09100000		89.05276338		2.65529986		-4		-0.26057540
89.79630000		89.79345110		2.58047933		-14		-0.89108046
89.79630000		89.76636578		2.55339402		-10		-0.62727777
89.88672000		89.89899731		2.66793534		-6		-0.40651387
89.88672000		90.05846506		2.82740308		-5		-0.30375241
90.38876000		90.39476818		2.91337714		-2		-0.12322078
90.38876000		90.42910332		2.94771228		3		0.23685993
89.95254000		89.95308956		2.97684279		8		0.50207744
89.95254000		89.93785480		2.96160803		4		0.27771235
90.06739000		90.06541152		2.88558504		0		-0.03682884
90.06739000		89.98481889		2.80499289		-2		-0.15189734
90.55538000		90.57207392		2.82447099		-1		-0.06706645
90.55538000		90.62356452		2.87596159		9		0.54429417
89.65253000		89.65412174		2.87828775		0		-0.03773075
90.15899000		90.08242610		2.75847614		0		-0.05981833
90.33795000		90.35174013		2.78179976		0		-0.01307924
90.33795000		90.38705087		2.81711050		3		0.18780139
90.42722000		90.41622005		2.77982049		5		0.30654471
90.42722000		90.36787873		2.73147918		8		955.02516960
89.97469000		89.90344980		2.64938756		3		0.23866270
89.66958000		89.60904105		2.50577465		-1		-0.06195486
89.66958000		89.58506679		2.48180038		-4		-0.25501404
90.61816000		90.66126158		2.52891323		7		0.47348812
89.31985000		89.31632329		2.55450932		2		0.12251660
89.72831000		89.60545850		2.33941477		-4		-0.26289707
89.92359000		89.75751357		2.49146984		-1		-0.06331581
89.02491000		89.02213864		2.51026878		0		-0.01680453
90.07292000		90.07245411		2.50511602		-8		-0.52577074
90.07292000		90.10538459		2.53804649		2		0.12003637
89.48096000		89.41830973		2.58539841		4		0.26921619
90.28575000		90.22227745		2.46785630		17		1.02851247
90.27375000		90.05337003		2.22877479		12		0.72043848
90.11724000		90.02850393		2.05186047		11		0.69913324
88.67809000		88.77561740		1.87697010		-7		-0.47290540
90.94737000		91.01047632		2.95259316		-500		nan
89.07806000		89.06410610		3.42538426		-500		nan
92.21567000		92.20686217		2.94697194		-7		-35.62571805
89.41121000		89.38731317		2.76084410		42		2.55004386
89.79636000		89.81106211		2.16029949		11		1262.15055027
87.80663000		89.71949711		2.06873450		10		0.60526687
90.89291000		90.88810411		1.97343528		12		0.74028899
88.49475000		88.48661034		1.85335312		24		1.49659957
89.43111000		89.38619173		1.62317319		-11		-0.66057472
88.47054000		88.45784148		1.65280191		-15		-0.95867516
88.47054000		88.49838012		1.69334054		-16		-1.00957739
89.88024000		89.89580740		1.82233536		-14		-0.89837505
89.88024000		90.00519906		1.93172702		6		0.36852330
88.56156000		88.64996878		2.02361857		-14		-0.87765505
