GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp	steer_angle	str_moving_avg_result	stanley_steering_angle	path_angle		dr_yaw_angle		psi			atan_tmp		s			triangle_area		distance_a		distance_b		distance_c		x_error
268.04676000		268.04716459		0.00040459		-164		-9.88336830		-179.69775188		87.74490722		268.04716459		179.69775188		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04713468		0.00037468		-166		-9.97321717		-179.69776936		87.74490722		268.04713468		179.69776936		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04709696		0.00033696		-167		-10.06306606		-179.69780171		87.74490722		268.04709696		179.69780171		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04705842		0.00029842		-169		-10.15291496		-179.69783386		87.74490722		268.04705842		179.69783386		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04701997		0.00025997		-170		0.00000000		-179.69786787		87.74490722		268.04701997		179.69786787		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04698085		0.00022085		-172		0.00000000		-179.69790203		87.74490722		268.04698085		179.69790203		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04694189		0.00018189		-173		0.00000000		-179.69793565		87.74490722		268.04694189		179.69793565		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04690324		0.00014324		-176		-10.60215971		-179.69800274		87.74490722		268.04690324		179.69800274		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04686459		0.00010459		-178		-10.69200871		-179.69803520		87.74490722		268.04686459		179.69803520		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04682578		0.00006578		-179		-10.78185773		-179.69806875		87.74490722		268.04682582		179.69806875		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04678616		0.00002616		-181		0.00000000		-179.69810485		87.74490722		268.04678616		179.69810485		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04671782		-0.00004218		-182		-10.96155582		-179.69810485		87.74490722		268.04671782		179.69810485		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04665256		-0.00010744		-184		-11.05140491		-179.69824950		87.74490722		268.04665256		179.69824950		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04658353		-0.00017647		-185		-11.14125404		-179.69824950		87.74490722		268.04658353		179.69824950		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04651505		-0.00024495		-185		-11.14125404		-179.69838249		87.74490722		268.04651505		179.69838249		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04644574		-0.00031426		-187		-11.23110323		-179.69844183		87.74490722		268.04644574		179.69844183		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04637725		-0.00038275		-188		0.00000000		-179.69850228		87.74490722		268.04637725		179.69850228		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04630863		-0.00045137		-190		0.00000000		-179.69856355		87.74490722		268.04630863		179.69856355		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04624070		-0.00051930		-191		0.00000000		-179.69862311		87.74490722		268.04624070		179.69862311		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04617221		-0.00058779		-193		-5.93001384		-179.69868177		87.74490722		268.04617221		179.69868177		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04611976		-0.00064024		-196		-11.77019901		-179.69878317		87.74490722		268.04611976		179.69878317		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04607034		-0.00068966		-197		-11.86004840		-179.69882578		87.74490722		268.04607034		179.69882578		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04602116		-0.00073884		-199		-11.94989781		-179.69886945		87.74490722		268.04602116		179.69886945		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04597169		-0.00078831		-200		-12.03974725		-179.69886945		87.74490722		268.04597169		179.69886945		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04588936		-0.00087064		-202		0.00000000		-179.69899045		87.74490722		268.04588936		179.69899045		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04584155		-0.00091845		-203		0.00000000		-179.69903174		87.74490722		268.04584155		179.69903174		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04579402		-0.00096598		-206		-12.39914527		-179.69907293		87.74490722		268.04579402		179.69907293		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04574577		-0.00101423		-208		-12.48899482		-179.69915765		87.74490722		268.04574577		179.69915765		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04569713		-0.00106287		-209		-12.57884440		-179.69920147		87.74490722		268.04569713		179.69920147		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04564873		-0.00111127		-211		-12.66869400		-179.69924636		87.74490722		268.04564873		179.69924636		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04559951		-0.00116049		-212		0.00000000		-179.69928858		87.74490722		268.04559951		179.69928858		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04555111		-0.00120889		-214		0.00000000		-179.69933128		87.74490722		268.04555111		179.69933128		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
